Name or Synonym,RID
radiofrequency coil,RID10815
transmit-receive radiofrequency coil,RID10820
primary transmit-receive coil,RID10821
transmit radiofrequency coil,RID10824
localized transmit coil,RID10826
receive radiofrequency coil,RID10830
localized receive coil,RID10831
functional magnetic resonance imaging coil,RID10835
tracker coil,RID10838
gradient coil,RID10839
whole body gradient coil,RID10840
restricted field of view body gradient coil,RID10841
localized gradient coil,RID10843
shim coil,RID10844
resistive shim coil,RID10845
superconducting shim coil,RID10846
non-linear shim coil,RID10847
linear shim coil,RID10849
linear resistive shim coil,RID10850
curved transducer,RID10854
linear transducer,RID10855
ultrasound transducer element configuration,RID10857
1 dimensional element configuration,RID10858
1.5 dimensional element configuration,RID10860
symmetric 2 dimensional element configuration,RID10862
asymmetric 2 dimensional element configuration,RID10864
annular element configuration,RID10866
ultrasound transducer,RID10867
mechanical transducer,RID10868
intravascular rotating crystal transducer,RID10869
intravascular rotating mirror transducer,RID10870
sector mechanical transducer,RID10871
sector annular array transducer,RID10872
endocavitary mechanical transducer,RID10873
endocavitary annular array transducer,RID10874
non-mechanical transducer,RID10875
sector phased array transducer,RID10876
linear array transducer,RID10877
intravascular phased array transducer,RID10879
endocavitary phased array transducer,RID10880
endocavitary curved linear array transducer,RID10881
endocavitary linear transducer,RID10882
vector phased array transducer,RID10883
single crystal transducer,RID10884
split crystal transducer,RID10885
combined transducer,RID10886
curved linear array transducer,RID10887
sector phased transducer,RID10888
endocavitary transducer,RID10889
endorectal transducer,RID10890
endovaginal transducer,RID10891
endovascular transducer,RID10893
transesophageal transducer,RID10895
endoscopic transducer,RID10896
curved array transducer,RID10897
phased array transducer,RID10898
mechanical sector transducer,RID10900
annular transducer,RID10901
A-mode ultrasound,RID10903
B-mode ultrasound,RID10904
C-mode ultrasound,RID10907
Doppler mode,RID10908
color Doppler mode,RID10909
power Doppler mode,RID10910
spectral Doppler mode,RID10911
harmonic ultrasound,RID10913
phase-cancellation harmonic ultrasound,RID10914
M-mode,RID10915
stimulated acoustic emission,RID10916
low intensity pulse,RID10918
high intensity pulse,RID10919
three dimensional ultrasound,RID10920
duplex ultrasound,RID10922
triplex ultrasound,RID10923
extended field of view ultrasound,RID10924
4 dimensional ultrasound,RID10926
cine loop,RID10928
volume imaging,RID10930
elastography,RID10932
strain imaging,RID10933
nuclear imaging attribute,RID10934
collimator,RID10935
pinhole collimator,RID10936
multihole collimator,RID10937
stationary multi-channel,RID10938
seven-pinhole collimator,RID10939
rotating slant hole collimator,RID10940
xray collimator,RID10941
nuclear collimator geometry,RID10942
parallel hole collimator,RID10943
low energy parallel hole collimator,RID10944
low energy parallel hole ultra-high resolution,RID10945
low energy parallel hole high-resolution,RID10946
low energy parallel hole general purpose,RID10947
low energy parallel hole high sensitivity,RID10948
medium energy parallel hole collimator,RID10949
medium energy parallel hole high-resolution,RID10950
medium energy parallel hole general purpose,RID10951
high energy parallel hole collimator,RID10952
ultra-high energy parallel hole collimator,RID10953
diverging collimator,RID10954
converging collimator,RID10955
ring collimator,RID10956
nuclear imaging acquisition rate,RID10957
dynamic nuclear imaging acquisition,RID10958
serial nuclear imaging acquisition,RID10959
static nuclear imaging acquisition,RID10960
gated nuclear imaging acquisition,RID10961
nuclear camera,RID10962
positron emission tomography camera,RID10963
gamma camera,RID10965
nuclear detector quantity,RID10968
single detector,RID10969
multi-detector,RID10970
nuclear solid state detector material,RID10971
cadmium telluride,RID10972
cadmium zinc telluride,RID10973
cadmium iodide,RID10975
nuclear detector geometry type,RID10976
planar nuclear detector,RID10977
full ring nuclear detector,RID10978
partial ring nuclear detector,RID10979
rotating 2D columns nuclear detector,RID10980
hybrid nuclear detector,RID10981
nuclear diode,RID10982
PIN diode,RID10983
avalanche diode,RID10984
silicon drift diode,RID10985
cross-sectional attenuation correction method,RID10986
CT attenuation correction,RID10987
MR attenuation correction,RID10988
radioactive source attenuation correction,RID10989
Gd scanning line source attenuation correction,RID10991
Ge rod source attenuation correction,RID10992
Cs rod source attenuation correction,RID10993
nuclear crystal detector material,RID10994
BGO,RID10995
LSO,RID10997
LYSO,RID10999
exemplary quality,RID11
GSO,RID11001
NaI,RID11003
interventional procedure attribute,RID11005
anesthesia,RID11006
general anesthesia,RID11007
local anesthesia,RID11008
tumescent anesthesia,RID11009
regional anesthesia,RID11010
epidural anesthesia,RID11011
spinal anesthesia,RID11012
sedation depth,RID11013
deep sedation,RID11014
moderate sedation,RID11015
mild sedation,RID11016
no sedation,RID11017
interventional access technique,RID11018
trochar access technique,RID11019
coaxial access technique,RID11021
Seldinger access technique,RID11022
interventional access closure technique,RID11023
manual pressure access closure technique,RID11024
clamp pressure access closure technique,RID11025
closure device access closure technique,RID11026
track closure technique,RID11027
ablation track closure technique,RID11028
embolization track closure technique,RID11029
balloon dilation procedure,RID11030
angioplasty,RID11031
track dilation,RID11032
cholangioplasty,RID11034
urinary tract dilatation,RID11036
sequential dilation of a structure,RID11037
compliant balloon,RID11039
noncompliant balloon,RID11040
cutting balloon,RID11041
cryoplasty balloon,RID11042
balloon deployment,RID11043
monorail deployment,RID11044
over-the-wire deployment,RID11045
balloon catheter,RID11046
low profile balloon catheter,RID11047
standard balloon catheter,RID11048
high-pressure balloon,RID11050
low-pressure balloon,RID11051
interventional wire,RID11052
hydrophilic wire,RID11053
nonhydrophilic wire,RID11054
stiff wire,RID11055
nonstiff wire,RID11056
radiofrequency ablation endpoint determinant,RID11058
target temperature endpoint,RID11059
impedance control endpoint,RID11060
duration of ablation endpoint,RID11061
focused ultrasound energy application method,RID11062
extracorporeal application,RID11063
direct application,RID11065
bolus triggering method,RID11066
best estimated timing,RID11067
automated bolus tracking,RID11069
real-time reconstructed MR images,RID11071
test bolus,RID11073
procedure complication timing,RID11074
immediate complication,RID11075
early complication,RID11076
late complication,RID11077
substance administration attribute,RID11078
enhancement phase,RID11079
arterial phase,RID11080
delayed phase,RID11081
early arterial phase,RID11082
early venous phase,RID11083
late venous phase,RID11084
portal venous phase,RID11085
unenhanced phase,RID11086
route of administration,RID11087
auricular,RID11088
buccal,RID11090
conjunctival,RID11091
cutaneous,RID11092
dental,RID11093
electroosmosis,RID11094
endocervical,RID11095
endosinusial,RID11097
endotracheal,RID11098
enteral,RID11099
epidural route,RID11100
extra-amniotic,RID11101
extracorporeal,RID11102
hemodialysis,RID11103
infiltration route,RID11104
interstitial route,RID11105
intra-abdominal,RID11106
intra-amniotic,RID11107
intra-arterial,RID11108
intra-articular,RID11109
intrabiliary,RID11110
intrabronchial,RID11111
intrabursal,RID11112
intracardiac,RID11113
intracartilaginous,RID11114
intracaudal,RID11115
intracavernous,RID11116
intracavitary,RID11117
intracerebral,RID11118
intracisternal,RID11119
intracorneal,RID11120
"intracoronal, dental",RID11121
intracoronary,RID11122
intracorporus cavernosum,RID11123
intradermal,RID11124
intradiscal,RID11125
intraductal,RID11126
intraduodenal,RID11127
intradural,RID11128
intraepidermal,RID11129
intraesophageal,RID11130
intragastric,RID11131
intragingival,RID11132
intraileal,RID11133
intralesional,RID11134
intraluminal,RID11135
intralymphatic,RID11136
intramedullary,RID11137
intrameningeal,RID11138
intramuscular,RID11139
intraocular,RID11140
intraovarian,RID11141
intrapericardial,RID11142
intraperitoneal,RID11143
intrapleural,RID11144
intraprostatic,RID11145
intrapulmonary,RID11146
intrasinal,RID11147
intraspinal,RID11148
intrasynovial,RID11149
intratendinous,RID11150
intratesticular,RID11151
intrathoracic,RID11153
intratubular,RID11155
intratumor,RID11156
intratympanic,RID11157
intrauterine,RID11158
intravascular,RID11159
intravenous,RID11160
intravenous bolus,RID11161
intravenous drip,RID11162
intraventricular,RID11163
intravesical,RID11164
intravitreal,RID11165
iontophoresis,RID11166
irrigation,RID11167
laryngeal,RID11168
nasal,RID11169
nasogastric,RID11170
occlusive dressing technique,RID11171
ophthalmic,RID11172
oral,RID11173
oropharyngeal,RID11174
parenteral,RID11175
percutaneous,RID11176
periarticular,RID11177
peridural,RID11178
perineural,RID11179
periodontal,RID11180
rectal,RID11181
respiratory,RID11182
retrobulbar,RID11184
soft tissue administration,RID11185
subconjunctival,RID11187
subcutaneous,RID11188
sublingual,RID11190
submucosal,RID11191
topical,RID11192
transdermal,RID11193
transmucosal,RID11194
transplacental,RID11195
transtracheal,RID11196
transtympanic,RID11197
ureteral,RID11198
urethral,RID11199
vaginal,RID11200
via existing access,RID11201
cut down,RID11202
open surgical,RID11203
transcutaneous needle puncture,RID11204
transpleural,RID11206
transarterial,RID11207
transvenous,RID11208
laparascopic,RID11209
endoscopic,RID11210
embolic agent,RID11211
temporary embolic agent,RID11212
absorbable gelatin sponge,RID11213
polyvinyl alcohol,RID11215
calibrated microspheres,RID11217
glue,RID11218
herbal agent,RID11219
bletilla striata,RID11220
image processing attribute,RID11221
gating time frame,RID11222
prospective gating,RID11223
retrospective gating,RID11224
volume rendering method,RID11225
orthographic volume rendering,RID11226
perspective volume rendering,RID11227
image display format,RID11229
film-based images,RID11230
digital image display,RID11231
digital images displayed on a computer screen,RID11232
printed digital images,RID11233
images printed on film,RID11234
images printed on paper,RID11235
motion artifact reduction method,RID11236
breathing control,RID11237
spirometry breathing control,RID11238
LED breathing control,RID11239
triggering,RID11240
respiratory triggering,RID11241
diaphragm navigator echo,RID11242
bellows,RID11243
nasal sensor,RID11244
cardiac triggering,RID11245
gating,RID11246
respiratory gating,RID11247
cardiac gating,RID11248
peripheral pulse gating,RID11249
EKG gating,RID11250
cardiac navigator echo,RID11252
imaging error,RID11254
marker error,RID11255
incorrect markers,RID11256
incorrect marker orientation,RID11257
no marker,RID11258
PACS error,RID11259
images under wrong exam,RID11260
missing exam,RID11261
missing images,RID11262
unavailable exam,RID11263
patient data error,RID11264
incorrect accession number,RID11265
incorrect number of images,RID11266
incorrect patient ID,RID11267
incorrect patient name,RID11268
mismatch order to exam performed,RID11269
multiple studies same accession number,RID11270
uncompleted exam in RIS,RID11271
wrong demographics,RID11272
image defect,RID11273
overexposure,RID11274
underexposure,RID11277
noisy image,RID11280
suboptimal patient positioning,RID11281
clipped or missing marker,RID11282
plate erasure,RID11283
image processing failure,RID11284
incorrect filter applied,RID11285
double exposure,RID11286
noise artifact,RID11287
protocol error,RID11288
incorrect protocol,RID11289
incomplete protocol,RID11290
collimation error,RID11291
undercollimation,RID11293
overcollimation,RID11294
inappropriate manual collimation,RID11295
artifact,RID11296
faulty instrument or use of instrument artifact,RID11297
capture equipment failure,RID11298
xray equipment failure,RID11299
plate-reader artifact,RID11300
patient artifact,RID11301
anatomic artifact,RID11302
intervening anatomic structure,RID11303
body habitus artifact,RID11304
large body habitus artifact,RID11305
physiologic or metabolic artifact,RID11307
patient motion,RID11308
arrhythmia artifact,RID11309
left bundle branch block,RID11310
hyperglycemia artifact,RID11311
incorrect patient position,RID11312
object artifact,RID11313
intervening foreign body,RID11314
grid artifact,RID11315
procedural artifact,RID11316
body substance contamination,RID11317
dose extravasation,RID11319
activity at injection site,RID11320
abnormal uptake kinetics,RID11321
image processing artifact,RID11322
CT image artifact,RID11323
streaking artifact,RID11324
ring artifact,RID11325
shading artifact,RID11326
beam hardening artifact,RID11327
scatter artifact,RID11329
cone-beam effect artifact,RID11332
helical interpolation artifact,RID11333
metal artifact,RID11334
magnetic resonance image artifact,RID11335
zipper artifact,RID11336
zipper in readout direction,RID11337
stimulated echoartifact,RID11340
persistent free induction decay artifact,RID11341
zipper in phase encoding direction at zero frequency,RID11343
zipper in phase direction at non-zero frequency,RID11347
stripe artifact,RID11353
star artifact,RID11354
synchronous RF noise artifact,RID11355
central dot artifact,RID11357
central stripe in fast imaging,RID11358
data error artifact,RID11359
digitization-error artifact,RID11360
Saturation of analog to digital converter,RID11367
magnetic field perturbation artifact,RID11368
static magnetic field inhomogeneity,RID11369
ferromagnetic implant magnetic susceptibility effect,RID11370
vacuum cleaner artifact,RID11371
tissue magnetic susceptibility effect,RID11372
microscopic irregularities in magnetic field,RID11373
chemical shift artifact,RID11374
chemical shift of first kind,RID11375
chemical shift of second kind,RID11377
loss of signal in tissue voxels,RID11380
loss of signal at interface voxels,RID11381
artifact related to temporal magnetic field instability,RID11387
aliasing artifact,RID11388
spectral overlap artifact,RID11392
phase wraparound artifact,RID11395
out of plane wrap around artifact,RID11397
fringe artifact,RID11398
suboptimal gradient artifact,RID11403
gradient nonlinearity,RID11404
gradient power drop-off,RID11405
gradient amplifier saturation,RID11406
eddy currents,RID11407
non-uniform signal intensity artifact,RID11408
surface coil sensitivity artifact,RID11409
receiver coil-transmitter coil coupling,RID11412
conductivity artifact,RID11413
standing wave-related effect,RID11414
low-pass frequency filter artifact,RID11415
misalignment of planes of excitation and refocusing pulses,RID11416
non-uniform slice thickness,RID11417
non-uniformity in real images,RID11418
phase non-uniformity,RID11419
phase non-uniformity arising from phase sensitivity of coil,RID11420
phase non-uniformity arising from static field inhomogeneity,RID11421
incorrect compensation of readout gradient,RID11422
motion related artifact,RID11423
smearing,RID11424
ghost,RID11426
macroscopic motion artifact,RID11434
microscopic motion artifact,RID11435
within-view motion artifact,RID11436
between-view motion artifact,RID11437
flow-related artifact,RID11438
laminar flow artifact,RID11439
flow separation with recirculation zones,RID11440
turbulent flow artifact,RID11441
time of flight artifact,RID11443
entry of unsaturated spins into volume,RID11445
exit of excited spins from volume,RID11450
flow-induced (within-view) phase changes,RID11451
intravoxel dephasing,RID11452
view-to-view intensity error,RID11455
even echo rephrasing,RID11456
diastolic pseudogating,RID11457
flow-related ghost artifact,RID11458
quadrature imbalance artifact,RID11459
stimulated echo ghost artifact,RID11460
gradient digitization error artifact,RID11461
N/2 ghost artifact,RID11462
segmented K-space ghost artifact,RID11463
parallel imaging artifact,RID11464
half field-of-view ghost artifact,RID11465
image center noise,RID11466
edge or boundary artifact,RID11467
bounce point artifact,RID11468
motion shear contour artifact,RID11469
truncation artifact,RID11470
edge blurring artifact,RID11478
edge smearing artifact,RID11479
edge enhancement artifact,RID11480
partial volume averaging,RID11481
partial volume averaging between slices,RID11483
partial volume averaging within slices,RID11484
magic angle artifact,RID11485
off-resonance effect,RID11486
banding artifact,RID11487
accentuation of pulsatile flow artifact,RID11488
saturation artifact,RID11489
slice cross talk artifact,RID11491
fine line artifact,RID11494
interventional outcome,RID11495
technical success,RID11496
anatomic success,RID11497
hemodynamic success,RID11498
clinical success,RID11499
complete clinical success,RID11500
partial clinical success,RID11501
technique effectiveness,RID11502
primary effectiveness,RID11503
secondary effectiveness,RID11504
patency,RID11506
primary patency,RID11507
assisted primary patency,RID11508
secondary patency,RID11509
therapeutic response,RID11510
complete imaging response,RID11511
residual disease,RID11512
partial response,RID11513
stable disease,RID11514
progressive disease,RID11515
same organ disease progression,RID11518
different organ disease progression,RID11519
local tumor progression,RID11520
regression,RID11521
side effect,RID11522
postembolization syndrome,RID11523
morbidity,RID11524
complication,RID11525
infectious complication,RID11528
abscess complication,RID11529
sepsis complication,RID11530
medication-related complication,RID11531
allergic or anaphylactoid reaction,RID11532
idiosyncratic reaction,RID11533
cardiovascular complication,RID11534
myocardial infarction complication,RID11535
angina complication,RID11536
coronary ischemia complication,RID11537
hypotension complication,RID11538
vagal reaction complication,RID11539
death complication,RID11540
death related to procedure,RID11541
death unrelated to procedure,RID11542
bleeding complication,RID11543
hematoma complication,RID11544
puncture site complication,RID11545
neurologic complication,RID11546
lumbar radiculopathy complication,RID11547
stroke complication,RID11548
pulmonary complication,RID11549
pleural effusion complication,RID11550
pneumothorax complication,RID11551
pulmonary embolism complication,RID11552
renal complication,RID11553
renal failure complication,RID11554
renal infarct complication,RID11555
device-related complication,RID11556
skin burn complication,RID11557
tumor-related complication,RID11558
tumor seeding complication,RID11559
urinary complication,RID11560
urinary fistula complication,RID11561
hematuria complication,RID11562
unintended perforation of hollow viscus complication,RID11563
stricture complication,RID11564
response to treatment,RID11565
response to vascular treatment,RID11566
response to embolization,RID11567
absence of flow,RID11568
stasis in target vessel,RID11569
absence of bleeding,RID11570
patent vessel,RID11572
satisfactory inflow and outflow,RID11573
